ID,Species,island,bill_length_mm,bill_depth_mm,flipper_length (mm),body mass (g),Sex,year
86,Gentoo,Biscoe,48.7,15.1,222,5350,Male,2007
87,Gentoo,Biscoe,50.2,14.3,218,5700,male,2007
88,Gentoo,Biscoe,45.1,14.5,215,5000,Female,2007
89,Gentoo,Biscoe,46.5,14.5,213,4400,female,2007
90,Gentoo,Biscoe,46.3,15.8,215,5050,Male,2007
91,Adelie,Torgersen,41.4,18.6,191,3700,male,2008
92,adelie,Torgersen,39,17.5,186,3550,FEMALE,2008
93,Adelie,Torgersen,40.1,18.9,188,4300,Male,2008
94,ADELIE,Torgersen,42.4,17.3,181,3600,female,2008
95,Adelie,torgersen,36.5,18,182,3150,Female,2008
96,Adelie,Torgersen,NA,NA,NA,NA,n/a,2008
97,Adelie,Torgersen,38.5,17.9,190,3325,FEMALE,2008
98,Adelie,Torgersen,41.8,19.4,198,4450,male,2008
99,Adelie,Torgersen,39,18.7,185,3650,Female,2008
100,Adelie,Torgersen,40.4,18.4,186,3875,Male,2008
101,Chinstrap,Dream,49,18.5,195,3600,male,2008
102,chinstrap,Dream,46.2,17.5,187,3650,Female,2008
103,Chinstrap,dream,52.5,18.5,193,3650,Male,2008
104,CHINSTRAP,Dream,50.2,18.7,198,3775,FEMALE,2008
105,Chinstrap,Dream,49.5,18.8,197,3850,female,2008
106,Chinstrap,Dream,48.2,18.2,190,3700,male,2008
107,Chinstrap,Dream,47.5,16.8,199,3900,Male,2008
108,Chinstrap,Dream,49.8,17.3,198,3675,Female,2008
109,Chinstrap,Dream,50.8,18.5,201,4450,male,2008
110,Chinstrap,Dream,46.9,16.6,192,2700,FEMALE,2008
111,Gentoo,Biscoe,47.5,15,218,4950,female,2008
112,gentoo,Biscoe,47.6,14.5,215,5400,male,2008
113,Gentoo,biscoe,52,15.5,230,5550,Male,2008
114,GENTOO,Biscoe,46.9,14.6,222,4875,FEMALE,2008
115,Gentoo,Biscoe,50.4,15.7,222,5750,male,2008
116,Gentoo,Biscoe,44.9,13.3,213,5100,female,2008
117,Gentoo,Biscoe,51.1,16.3,220,6000,Male,2008
118,Gentoo,Biscoe,48.8,16.2,222,6000,male,2008
119,Gentoo,Biscoe,46.2,14.1,217,4375,Female,2008
120,Gentoo,Biscoe,50,15.3,220,5550,Male,2008
