species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Biscoe,48.7,15.1,222,5350,male,2007
Gentoo,Biscoe,50.2,14.3,218,5700,male,2007
Gentoo,Biscoe,45.1,14.5,215,5000,female,2007
Gentoo,Biscoe,46.5,14.5,213,4400,female,2007
Gentoo,Biscoe,46.3,15.8,215,5050,male,2007
Adelie,Torgersen,41.4,18.6,191,3700,male,2008
Adelie,Torgersen,39,17.5,186,3550,female,2008
Adelie,Torgersen,40.1,18.9,188,4300,male,2008
Adelie,Torgersen,42.4,17.3,181,3600,female,2008
Adelie,Torgersen,36.5,18,182,3150,female,2008
Adelie,Torgersen,38.5,17.9,190,3325,female,2008
Adelie,Torgersen,41.8,19.4,198,4450,male,2008
Adelie,Torgersen,39,18.7,185,3650,female,2008
Adelie,Torgersen,40.4,18.4,186,3875,male,2008
Chinstrap,Dream,49,18.5,195,3600,male,2008
Chinstrap,Dream,46.2,17.5,187,3650,female,2008
Chinstrap,Dream,52.5,18.5,193,3650,male,2008
Chinstrap,Dream,50.2,18.7,198,3775,female,2008
Chinstrap,Dream,49.5,18.8,197,3850,female,2008
Chinstrap,Dream,48.2,18.2,190,3700,male,2008
Chinstrap,Dream,47.5,16.8,199,3900,male,2008
Chinstrap,Dream,49.8,17.3,198,3675,female,2008
Chinstrap,Dream,50.8,18.5,201,4450,male,2008
Chinstrap,Dream,46.9,16.6,192,2700,female,2008
Gentoo,Biscoe,47.5,15,218,4950,female,2008
Gentoo,Biscoe,47.6,14.5,215,5400,male,2008
Gentoo,Biscoe,52,15.5,230,5550,male,2008
Gentoo,Biscoe,46.9,14.6,222,4875,female,2008
Gentoo,Biscoe,50.4,15.7,222,5750,male,2008
Gentoo,Biscoe,44.9,13.3,213,5100,female,2008
Gentoo,Biscoe,51.1,16.3,220,6000,male,2008
Gentoo,Biscoe,48.8,16.2,222,6000,male,2008
Gentoo,Biscoe,46.2,14.1,217,4375,female,2008
Gentoo,Biscoe,50,15.3,220,5550,male,2008
