strain,treatment,body_length_mm,body_width_mm,caudal_fin_length_mm,body_mass_g,sex,year
AB,KO,41.1,9.55,6.266666666666667,4.1,male,2019
AB,WT,35.9,8.3,6.333333333333333,3.05,female,2019
AB,WT,41.8,9.7,6.6,4.45,male,2019
AB,WT,33.5,9.5,6.333333333333333,3.6,female,2019
AB,WT,39.7,9.2,6.333333333333333,3.9,male,2019
AB,WT,39.6,8.6,6.533333333333333,3.55,female,2019
AB,WT,45.8,9.45,6.566666666666666,4.15,male,2019
AB,WT,35.5,8.75,6.333333333333333,3.7,female,2019
AB,WT,42.8,9.25,6.5,4.25,male,2019
AB,WT,40.9,8.4,6.366666666666666,3.7,female,2019
AB,WT,37.2,9.7,6.133333333333334,3.9,male,2019
AB,WT,36.2,8.05,6.233333333333333,3.55,female,2019
AB,WT,42.1,9.55,6.5,4,male,2019
AB,WT,34.6,8.6,6.3,3.2,female,2019
AB,WT,42.9,8.8,6.533333333333333,4.7,male,2019
AB,WT,36.7,9.4,6.233333333333333,3.8,female,2019
AB,WT,35.1,9.7,6.433333333333334,4.2,male,2019
AB,OE,37.3,8.9,6.366666666666666,3.35,female,2019
AB,OE,41.3,10.15,6.466666666666667,3.55,male,2019
AB,OE,36.3,9.75,6.333333333333333,3.8,male,2019
AB,OE,36.9,9.3,6.3,3.5,female,2019
AB,OE,38.3,9.6,6.3,3.95,male,2019
AB,OE,38.9,9.4,6.333333333333333,3.6,female,2019
AB,OE,35.7,9,6.733333333333333,3.55,female,2019
AB,OE,41.1,9.05,6.833333333333333,4.3,male,2019
AB,OE,34,8.55,6.166666666666667,3.4,female,2019
AB,OE,39.6,9.05,6.2,4.45,male,2019
AB,OE,36.2,8.65,6.233333333333333,3.3,female,2019
AB,OE,40.8,9.45,6.933333333333334,4.3,male,2019
AB,OE,38.1,9.3,6.333333333333333,3.7,female,2019
AB,OE,40.3,9.25,6.533333333333333,4.35,male,2019
AB,OE,33.1,8.05,5.933333333333334,2.9,female,2019
AB,OE,43.2,9.25,6.4,4.1,male,2019
AB,KO,35,8.95,6.4,3.725,female,2020
AB,KO,41,10,6.766666666666667,4.725,male,2020
AB,KO,37.7,8,6.1,3.075,female,2020
AB,KO,37.8,10,6.333333333333333,4.25,male,2020
AB,KO,37.9,9.3,6.433333333333334,2.925,female,2020
AB,KO,39.7,9.45,6.133333333333334,3.55,male,2020
AB,KO,38.6,8.6,6.633333333333334,3.75,female,2020
AB,KO,38.2,10,6.333333333333333,3.9,male,2020
AB,KO,38.1,8.5,6.033333333333333,3.175,female,2020
AB,KO,43.2,9.5,6.566666666666666,4.775,male,2020
AB,KO,38.1,8.25,6.6,3.825,female,2020
AB,KO,45.6,10.15,6.366666666666666,4.6,male,2020
AB,KO,39.7,8.85,6.433333333333334,3.2,female,2020
AB,KO,42.2,9.75,6.566666666666666,4.275,male,2020
AB,KO,39.6,10.35,6.366666666666666,3.9,female,2020
AB,KO,42.7,9.15,6.533333333333333,4.075,male,2020
AB,WT,38.6,8.5,6.266666666666667,2.9,female,2020
AB,WT,37.3,10.25,6.633333333333334,3.775,male,2020
AB,WT,35.7,8.5,6.3,3.35,female,2020
AB,WT,41.1,9.3,6.3,3.325,male,2020
AB,WT,36.2,8.6,6.233333333333333,3.15,female,2020
AB,WT,37.7,9.9,6.6,3.5,male,2020
AB,WT,40.2,8.5,5.866666666666666,3.45,female,2020
AB,WT,41.4,9.25,6.733333333333333,3.875,male,2020
AB,WT,35.2,7.95,6.2,3.05,female,2020
AB,WT,40.6,9.5,6.633333333333334,4,male,2020
AB,WT,38.8,8.8,6.366666666666666,3.275,female,2020
AB,WT,41.5,9.15,6.5,4.3,male,2020
AB,WT,39,8.55,6.366666666666666,3.05,female,2020
AB,WT,44.1,9,7,4,male,2020
AB,WT,38.5,8.95,6.333333333333333,3.325,female,2020
AB,WT,43.1,9.6,6.566666666666666,3.5,male,2020
AB,OE,36.8,9.25,6.433333333333334,3.5,female,2020
AB,OE,37.5,9.25,6.633333333333334,4.475,male,2020
AB,OE,38.1,8.8,6.233333333333333,3.425,female,2020
AB,OE,41.1,8.75,6.333333333333333,3.9,male,2020
AB,OE,35.6,8.75,6.366666666666666,3.175,female,2020
AB,OE,40.2,10.05,6.666666666666667,3.975,male,2020
AB,OE,37,8.25,6.166666666666667,3.4,female,2020
AB,OE,39.7,8.95,6.433333333333334,4.25,male,2020
AB,OE,40.2,8.55,6.433333333333334,3.4,female,2020
AB,OE,40.6,8.6,6.233333333333333,3.475,male,2020
AB,OE,32.1,7.75,6.266666666666667,3.05,female,2020
AB,OE,40.7,8.5,6.333333333333333,3.725,male,2020
AB,OE,37.3,8.4,6.4,3,female,2020
AB,OE,39,9.35,6.166666666666667,3.65,male,2020
AB,OE,39.2,9.3,6.333333333333333,4.25,male,2020
AB,OE,36.6,9.2,6.133333333333334,3.475,female,2020
AB,OE,36,8.9,6.5,3.45,female,2020
AB,OE,37.8,9.05,6.433333333333334,3.75,male,2020
AB,OE,36,8.55,6.233333333333333,3.7,female,2020
AB,OE,41.5,9.25,6.7,4,male,2020
TU,KO,46.1,6.6,7.033333333333333,4.5,female,2018
TU,KO,50,8.15,7.666666666666667,5.7,male,2018
TU,KO,48.7,7.05,7,4.45,female,2018
TU,KO,50,7.6,7.266666666666667,5.7,male,2018
TU,KO,47.6,7.25,7.166666666666667,5.4,male,2018
TU,KO,46.5,6.75,7,4.55,female,2018
TU,KO,45.4,7.3,7.033333333333333,4.8,female,2018
TU,KO,46.7,7.65,7.3,5.2,male,2018
TU,KO,43.3,6.7,6.966666666666667,4.4,female,2018
TU,KO,46.8,7.7,7.166666666666667,5.15,male,2018
TU,KO,40.9,6.85,7.133333333333334,4.65,female,2018
TU,KO,49,8.05,7.2,5.55,male,2018
TU,KO,45.5,6.85,7.133333333333334,4.65,female,2018
TU,KO,48.4,7.3,7.1,5.85,male,2018
TU,KO,45.8,7.3,7,4.2,female,2018
TU,KO,49.3,7.85,7.233333333333333,5.85,male,2018
TU,KO,42,6.75,7,4.15,female,2018
TU,KO,49.2,7.6,7.366666666666666,6.3,male,2018
TU,KO,46.2,7.25,6.966666666666667,4.8,female,2018
TU,KO,48.7,7.55,7.4,5.35,male,2018
TU,KO,50.2,7.15,7.266666666666667,5.7,male,2018
TU,KO,45.1,7.25,7.166666666666667,5,female,2018
TU,KO,46.5,7.25,7.1,4.4,female,2018
TU,KO,46.3,7.9,7.166666666666667,5.05,male,2018
TU,KO,42.9,6.55,7.166666666666667,5,female,2018
TU,KO,46.1,7.55,7.166666666666667,5.1,male,2018
TU,KO,44.5,7.15,7.2,4.1,NA,2018
TU,KO,47.8,7.5,7.166666666666667,5.65,male,2018
TU,KO,48.2,7.15,7,4.6,female,2018
TU,KO,50,7.65,7.333333333333333,5.55,male,2018
TU,KO,47.3,7.65,7.4,5.25,male,2018
TU,KO,42.8,7.1,6.966666666666667,4.7,female,2018
TU,KO,45.1,7.25,6.9,5.05,female,2018
TU,KO,59.6,8.5,7.666666666666667,6.05,male,2018
TU,KO,49.1,7.4,7.333333333333333,5.15,female,2019
TU,KO,48.4,8.15,7.333333333333333,5.4,male,2019
TU,KO,42.6,6.85,7.1,4.95,female,2019
TU,KO,44.4,8.65,7.3,5.25,male,2019
TU,KO,44,6.8,6.933333333333334,4.35,female,2019
TU,KO,48.7,7.85,6.933333333333334,5.35,male,2019
TU,KO,42.7,6.85,6.933333333333334,3.95,female,2019
TU,KO,49.6,8,7.5,5.7,male,2019
TU,KO,45.3,6.85,7,4.3,female,2019
TU,KO,49.6,7.5,7.2,4.75,male,2019
TU,KO,50.5,7.95,7.4,5.55,male,2019
TU,KO,43.6,6.95,7.233333333333333,4.9,female,2019
TU,KO,45.5,6.95,7,4.2,female,2019
TU,KO,50.5,7.95,7.5,5.4,male,2019
TU,KO,44.9,6.65,7.1,5.1,female,2019
TU,KO,45.2,7.9,7.166666666666667,5.3,male,2019
TU,KO,46.6,7.1,7,4.85,female,2019
TU,KO,48.5,7.05,7.333333333333333,5.3,male,2019
TU,KO,45.1,7.2,7,4.4,female,2019
TU,KO,50.1,7.5,7.5,5,male,2019
TU,KO,46.5,7.2,7.233333333333333,4.9,female,2019
TU,KO,45,7.7,7.333333333333333,5.05,male,2019
TU,KO,43.8,6.95,6.933333333333334,4.3,female,2019
TU,KO,45.5,7.5,7.333333333333333,5,male,2019
TU,KO,43.2,7.25,6.933333333333334,4.45,female,2019
TU,KO,50.4,7.65,7.466666666666667,5.55,male,2019
TU,KO,45.3,6.9,6.933333333333334,4.2,female,2019
TU,KO,46.2,7.45,7.366666666666666,5.3,male,2019
TU,KO,45.7,6.95,7.133333333333334,4.4,female,2019
TU,KO,54.3,7.85,7.7,5.65,male,2019
TU,KO,45.8,7.1,7.3,4.7,female,2019
TU,KO,49.8,8.4,7.666666666666667,5.7,male,2019
TU,KO,46.2,7.2,7.133333333333334,4.65,NA,2019
TU,KO,49.5,8.1,7.633333333333334,5.8,male,2019
TU,KO,43.5,7.1,7.333333333333333,4.7,female,2019
TU,KO,50.7,7.5,7.433333333333334,5.55,male,2019
TU,KO,47.7,7.5,7.2,4.75,female,2019
TU,KO,46.4,7.8,7.366666666666666,5,male,2019
TU,KO,48.2,7.8,7.366666666666666,5.1,male,2019
TU,KO,46.5,7.4,7.233333333333333,5.2,female,2019
TU,KO,46.4,7.5,7.2,4.7,female,2019
TU,KO,48.6,8,7.666666666666667,5.8,male,2019
TU,KO,47.5,7.1,6.966666666666667,4.6,female,2019
TU,KO,51.1,8.15,7.333333333333333,6,male,2019
TU,KO,45.2,6.9,7.166666666666667,4.75,female,2019
TU,KO,45.2,8.2,7.433333333333334,5.95,male,2019
TU,KO,49.1,7.25,7.066666666666666,4.625,female,2020
TU,KO,52.5,7.8,7.366666666666666,5.45,male,2020
TU,KO,47.4,7.3,7.066666666666666,4.725,female,2020
TU,KO,50,7.95,7.466666666666667,5.35,male,2020
TU,KO,44.9,6.9,7.066666666666666,4.75,female,2020
TU,KO,50.8,8.65,7.6,5.6,male,2020
TU,KO,43.4,7.2,7.266666666666667,4.6,female,2020
TU,KO,51.3,7.1,7.266666666666667,5.3,male,2020
TU,KO,47.5,7,7.066666666666666,4.875,female,2020
TU,KO,52.1,8.5,7.666666666666667,5.55,male,2020
TU,KO,47.5,7.5,7.266666666666667,4.95,female,2020
TU,KO,52.2,8.55,7.6,5.4,male,2020
TU,KO,45.5,7.25,7.066666666666666,4.75,female,2020
TU,KO,49.5,8.05,7.466666666666667,5.65,male,2020
TU,KO,44.5,7.35,7.133333333333334,4.85,female,2020
TU,KO,50.8,7.85,7.533333333333333,5.2,male,2020
TU,KO,49.4,7.9,7.2,4.925,male,2020
TU,KO,46.9,7.3,7.4,4.875,female,2020
TU,KO,48.4,7.2,6.766666666666667,4.625,female,2020
TU,KO,51.1,8.25,7.5,5.25,male,2020
TU,KO,48.5,7.5,7.3,4.85,female,2020
TU,KO,55.9,8.5,7.6,5.6,male,2020
TU,KO,47.2,7.75,7.166666666666667,4.975,female,2020
TU,KO,49.1,7.5,7.6,5.5,male,2020
TU,KO,47.3,6.9,7.2,4.725,NA,2020
TU,KO,46.8,8.05,7.166666666666667,5.5,male,2020
TU,KO,41.7,7.35,7,4.7,female,2020
TU,KO,53.4,7.9,7.3,5.5,male,2020
TU,KO,43.3,7,6.933333333333334,4.575,female,2020
TU,KO,48.1,7.55,6.966666666666667,5.5,male,2020
TU,KO,50.5,7.6,7.2,5,female,2020
TU,KO,49.8,7.95,7.633333333333334,5.95,male,2020
TU,KO,43.5,7.6,7.1,4.65,female,2020
TU,KO,51.5,8.15,7.666666666666667,5.5,male,2020
TU,KO,46.2,7.05,7.233333333333333,4.375,female,2020
TU,KO,55.1,8,7.666666666666667,5.85,male,2020
TU,KO,44.5,7.85,7.233333333333333,4.875,NA,2020
TU,KO,48.8,8.1,7.4,6,male,2020
TU,KO,47.2,6.85,7.133333333333334,4.925,female,2020
TU,KO,NA,NA,NA,NA,NA,2020
TU,KO,46.8,7.15,7.166666666666667,4.85,female,2020
TU,KO,50.4,7.85,7.4,5.75,male,2020
TU,KO,45.2,7.4,7.066666666666666,5.2,female,2020
TU,KO,49.9,8.05,7.1,5.4,male,2020
TL,OE,46.5,8.95,6.4,3.5,female,2018
TL,OE,50,9.75,6.533333333333333,3.9,male,2018
TL,OE,51.3,9.6,6.433333333333334,3.65,male,2018
TL,OE,45.4,9.35,6.266666666666667,3.525,female,2018
TL,OE,52.7,9.9,6.566666666666666,3.725,male,2018
TL,OE,45.2,8.9,6.6,3.95,female,2018
TL,OE,46.1,9.1,5.933333333333334,3.25,female,2018
TL,OE,51.3,9.1,6.566666666666666,3.75,male,2018
TL,OE,46,9.45,6.5,4.15,female,2018
TL,OE,51.3,9.95,6.6,3.7,male,2018
TL,OE,46.6,8.9,6.433333333333334,3.8,female,2018
TL,OE,51.7,10.15,6.466666666666667,3.775,male,2018
TL,OE,47,8.65,6.166666666666667,3.7,female,2018
TL,OE,52,9.05,6.7,4.05,male,2018
TL,OE,45.9,8.55,6.333333333333333,3.575,female,2018
TL,OE,50.5,9.8,6.7,4.05,male,2018
TL,OE,50.3,10,6.566666666666666,3.3,male,2018
TL,OE,58,8.9,6.033333333333333,3.7,female,2018
TL,OE,46.4,9.3,6.333333333333333,3.45,female,2018
TL,OE,49.2,9.1,6.5,4.4,male,2018
TL,OE,42.4,8.65,6.033333333333333,3.6,female,2018
TL,OE,48.5,8.75,6.366666666666666,3.4,male,2018
TL,OE,43.2,8.3,6.233333333333333,2.9,female,2018
TL,OE,50.6,9.7,6.433333333333334,3.8,male,2018
TL,OE,46.7,8.95,6.5,3.3,female,2018
TL,OE,52,9.5,6.566666666666666,4.15,male,2018
TL,OE,50.5,9.2,6.666666666666667,3.4,female,2019
TL,OE,49.5,9.5,6.666666666666667,3.8,male,2019
TL,OE,46.4,8.9,6.366666666666666,3.7,female,2019
TL,OE,52.8,10,6.833333333333333,4.55,male,2019
TL,OE,40.9,8.3,6.233333333333333,3.2,female,2019
TL,OE,54.2,10.4,6.7,4.3,male,2019
TL,OE,42.5,8.35,6.233333333333333,3.35,female,2019
TL,OE,51,9.4,6.766666666666667,4.1,male,2019
TL,OE,49.7,9.3,6.5,3.6,male,2019
TL,OE,47.5,8.4,6.633333333333334,3.9,female,2019
TL,OE,47.6,9.15,6.5,3.85,female,2019
TL,OE,52,10.35,7,4.8,male,2019
TL,OE,46.9,8.3,6.4,2.7,female,2019
TL,OE,53.5,9.95,6.833333333333333,4.5,male,2019
TL,OE,49,9.75,7,3.95,male,2019
TL,OE,46.2,8.75,6.233333333333333,3.65,female,2019
TL,OE,50.9,9.55,6.533333333333333,3.55,male,2019
TL,OE,45.5,8.5,6.533333333333333,3.5,female,2019
TL,OE,50.9,8.95,6.533333333333333,3.675,female,2020
TL,OE,50.8,9.25,6.7,4.45,male,2020
TL,OE,50.1,8.95,6.333333333333333,3.4,female,2020
TL,OE,49,9.8,7.066666666666666,4.3,male,2020
TL,OE,51.5,9.35,6.233333333333333,3.25,male,2020
TL,OE,49.8,8.65,6.6,3.675,female,2020
TL,OE,48.1,8.2,6.633333333333334,3.325,female,2020
TL,OE,51.4,9.5,6.7,3.95,male,2020
TL,OE,45.7,8.65,6.433333333333334,3.6,female,2020
TL,OE,50.7,9.85,6.766666666666667,4.05,male,2020
TL,OE,42.5,8.65,6.233333333333333,3.35,female,2020
TL,OE,52.2,9.4,6.566666666666666,3.45,male,2020
TL,OE,45.2,8.3,6.366666666666666,3.25,female,2020
TL,OE,49.3,9.95,6.766666666666667,4.05,male,2020
TL,OE,50.2,9.4,6.733333333333333,3.8,male,2020
TL,OE,45.6,9.7,6.466666666666667,3.525,female,2020
TL,OE,51.9,9.75,6.866666666666666,3.95,male,2020
TL,OE,46.8,8.25,6.3,3.65,female,2020
TL,OE,45.7,8.5,6.5,3.65,female,2020
TL,OE,55.8,9.9,6.9,4,male,2020
TL,OE,43.5,9.05,6.733333333333333,3.4,female,2020
TL,OE,49.6,9.1,6.433333333333334,3.775,male,2020
TL,OE,50.8,9.5,7,4.1,male,2020
TL,OE,50.2,9.35,6.6,3.775,female,2020
